ST_CASE,YEAR,FATALS,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,STATENAME,MONTHNAME,DAYNAME,DAY_WEEKNAME,HOURNAME,MINUTENAME,ROUTENAME,RUR_URBNAME,FUNC_SYSNAME,RD_OWNERNAME,NHSNAME,SP_JURNAME,HARM_EVNAME,MAN_COLLNAME,RELJCT1NAME,RELJCT2NAME,TYP_INTNAME,REL_ROADNAME,WRK_ZONENAME,LGT_CONDNAME,WEATHERNAME,SCH_BUSNAME,RAILNAME,LATITUDE,LONGITUD,COUNTYNAME,CITYNAME
80001,2015,1,0,0,1,1,0,1,1,Colorado,January,1,Thursday,4:00am-4:59am,13,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Tree (Standing Only),Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Roadside,,Dark - Not Lighted,Clear,No,Not Applicable,38.06830556,-107.6952583,Unknown,Unknown
80002,2015,1,3,6,2,1,1,5,2,Colorado,January,3,Saturday,2:00pm-2:59pm,41,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Pedestrian,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Shoulder,,Daylight,Snow,No,Not Applicable,39.55342222,-105.2425083,Unknown,Unknown
80003,2015,1,0,0,3,3,0,5,5,Colorado,January,4,Sunday,6:00pm-6:59pm,26,County Road,Urban,Principal Arterial - Other,County Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Intersection,Four-Way Intersection,On Roadway,,Dark - Lighted,Clear,No,Not Applicable,39.84895,-105.0060667,Unknown,Unknown
80004,2015,1,0,0,2,2,0,5,5,Colorado,January,5,Monday,8:00pm-8:59pm,40,State Highway,Rural,Minor Arterial,State Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Not Lighted,Clear,No,Not Applicable,38.78195833,-105.1236472,Unknown,Unknown
80005,2015,1,0,0,2,2,0,3,3,Colorado,January,6,Tuesday,12:00pm-12:59pm,7,State Highway,Rural,Minor Arterial,State Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Non-Junction,Not an Intersection,On Roadway,,Daylight,Clear,No,Not Applicable,39.76971667,-105.4484556,Unknown,Unknown
80006,2015,1,0,0,2,2,0,2,2,Colorado,January,6,Tuesday,5:00pm-5:59pm,7,State Highway,Rural,Minor Arterial,State Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Rear,No,Intersection-Related,Four-Way Intersection,On Roadway,,Dusk,Clear,No,Not Applicable,38.83863889,-104.4613667,Unknown,Unknown
80007,2015,1,0,0,1,1,0,1,1,Colorado,January,8,Thursday,1:00pm-1:59pm,47,State Highway,Rural,Minor Arterial,State Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,"Other Post, Other Pole or Other Supports",Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Roadside,,Daylight,Clear,No,Not Applicable,38.24321667,-104.2337861,Unknown,Unknown
80008,2015,1,1,1,2,2,0,3,3,Colorado,January,8,Thursday,8:00pm-8:59pm,50,State Highway,Urban,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Pedestrian,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Lighted,Snow,No,Not Applicable,39.71123889,-105.0254833,Unknown,Unknown
80009,2015,1,0,0,1,1,0,1,1,Colorado,January,9,Friday,9:00am-9:59am,5,County Road,Rural,Major Collector,County Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Traffic Sign Support,Not a Collision with Motor Vehicle In-Transport,No,Intersection-Related,T-Intersection,On Roadside,,Daylight,Clear,No,Not Applicable,40.14545,-104.6031056,Unknown,Unknown
80010,2015,2,0,0,1,1,0,2,2,Colorado,January,10,Saturday,10:00am-10:59am,0,County Road,Rural,Local,County Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Rollover/Overturn,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,Outside Trafficway,,Daylight,Clear,No,Not Applicable,38.59138889,-107.9228889,Unknown,Unknown
80011,2015,1,0,0,1,1,0,1,1,Colorado,January,11,Sunday,5:00am-5:59am,5,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Rollover/Overturn,Not a Collision with Motor Vehicle In-Transport,No,Intersection,Four-Way Intersection,On Roadway,,Dark - Not Lighted,Clear,No,Not Applicable,38.06062778,-103.2434111,Unknown,Unknown
